x,y,nazwa,miasto
19.924736,50.062731,Szkoly wyzsze,Kraków
19.922590,50.063034,Szkoly wyzsze,Kraków
21.003112,52.246511,Szkoly wyzsze,Warszawa
16.950874,52.401581,Szkoly wyzsze,Poznañ
19.944133,50.071677,Szkoly wyzsze,Kraków
19.997584,50.074755,Szkoly wyzsze,Kraków
16.160867,52.337659,Szkoly wyzsze,Stary Tomysl
18.926267,53.729534,Szkoly wyzsze,Kwidzyn
20.692856,49.601942,Szkoly wyzsze,Nowy Sacz
21.162452,51.418392,Szkoly wyzsze,Radom
19.129836,50.285760,Szkoly wyzsze,Sosnowiec
19.178888,50.268516,Szkoly wyzsze,Sosnowiec
23.767290,52.730912,Szkoly wyzsze,Teremiski
19.952303,50.084098,Szkoly wyzsze,Kraków
19.951273,50.082859,Szkoly wyzsze,Kraków
22.765367,49.784651,Szkoly wyzsze,Przemysl
22.791459,49.773823,Szkoly wyzsze,Przemysl
22.808775,49.762001,Szkoly wyzsze,Przemysl
19.133892,50.299044,Szkoly wyzsze,Sosnowiec
19.134310,50.287522,Szkoly wyzsze,Sosnowiec
19.128956,50.281414,Szkoly wyzsze,Sosnowiec
19.130072,50.271191,Szkoly wyzsze,Sosnowiec
19.110760,50.822936,Szkoly wyzsze,Czestochowa
19.117605,50.810070,Szkoly wyzsze,Czestochowa
19.114322,50.808687,Szkoly wyzsze,Czestochowa
19.104216,50.804985,Szkoly wyzsze,Czestochowa
19.029800,50.255258,Szkoly wyzsze,Katowice
19.003450,50.250360,Szkoly wyzsze,Katowice
19.044477,50.258263,Szkoly wyzsze,Katowice
19.010220,50.251005,Szkoly wyzsze,Katowice
19.033051,50.255437,Szkoly wyzsze,Katowice
19.028577,50.260650,Szkoly wyzsze,Katowice
18.130767,53.143475,Szkoly wyzsze,Bydgoszcz
16.149966,51.204557,Szkoly wyzsze,Legnica
18.632930,54.331577,Szkoly wyzsze,Gdañsk
22.267785,52.175063,Szkoly wyzsze,Siedlce
19.464490,51.772952,Szkoly wyzsze,Lodz
15.745918,50.900969,Szkoly wyzsze,Jelenia Góra
16.096612,51.661043,Szkoly wyzsze,Glogów
19.916973,50.067177,Szkoly wyzsze,Kraków
19.404108,50.143273,Szkoly wyzsze,Chrzanów
21.985230,50.026917,Szkoly wyzsze,Rzeszów
20.981735,52.243953,Szkoly wyzsze,Warszawa
21.010640,52.220470,Szkoly wyzsze,Warszawa
19.706260,52.544170,Szkoly wyzsze,Plock
20.899820,52.253110,Szkoly wyzsze,Warszawa
19.421120,54.147530,Szkoly wyzsze,Elblag
18.641363,54.344544,Szkoly wyzsze,Gdañsk
18.646550,54.358880,Szkoly wyzsze,Gdañsk
18.571930,54.399900,Szkoly wyzsze,Gdañsk
18.619280,54.371750,Szkoly wyzsze,Gdañsk
