Abramowice Kościelne,51,12,22,35
Abramowice,49,48,20,12
Abramowice Prywatne,51,13,22,36
Abramówka,51,19,23,09
Abramów,50,42,22,42
Abramów,51,03,22,32
Abramów,51,27,22,19
Abramy,53,01,21,52
Achrymowce,53,32,23,33
Adama,50,25,20,13
Adamczowice,50,40,21,29
Adamczycha,53,07,21,16
Adamek,51,05,20,31
Adamierz,50,12,20,54
Adamierz,52,09,17,48
Adaminowo,52,36,19,16
Adamkowa Rola,49,46,19,38
Adamkowo,53,32,17,42
Adamowa Góra,52,16,20,13
Adamowice,50,08,18,20
Adamowice,51,57,20,29
Adamowice,52,14,19,18
Adamowizna,54,11,23,09
Adamowo,52,06,16,09
Adamowo,52,27,18,03
Adamowo,52,34,20,36
Adamowo,52,40,20,42
Adamowo,52,51,19,29
Adamowo,52,55,19,54
Adamowo,52,55,20,10
Adamowo,52,55,21,17
Adamowo,52,56,19,17
Adamowo,53,10,19,55
Adamowo,53,23,17,18
Adamowo,53,26,19,10
Adamowo,53,43,19,22
Adamowo,53,54,19,23
Adamowo,54,09,19,16
Adamowo-Zastawa,52,06,16,09
Adamów-Parcel,52,01,20,34
Adamów,50,36,23,09
Adamów,50,47,21,28
Adamów,50,49,21,27
Adamów,50,52,19,20
Adamów,51,02,21,09
Adamów,51,02,21,27
Adamów,51,04,20,25
Adamów,51,06,19,17
Adamów,51,07,23,20
Adamów,51,09,19,45
Adamów,51,12,20,08
Adamów,51,22,20,24
Adamów,51,24,19,19
Adamów,51,27,19,55
Adamów,51,37,21,22
Adamów,51,40,19,58
Adamów,51,40,20,55
Adamów,51,45,22,15
Adamów,51,46,19,41
Adamów,51,52,19,00
Adamów,51,55,21,02
Adamów,52,01,20,34
Adamów,52,09,18,22
Adamów,52,09,20,38
Adamów,52,16,18,05
Adamów,52,17,21,42
Adamów,52,19,21,48
Adamów,52,20,19,39
Adamów,51,55,21,08
Adamów Nowy,51,50,19,15
Adamów Stary,51,50,19,13
Adamówka,50,16,22,42
Adamówka,50,56,22,49
Adamówka,51,32,22,20
Adamówka,51,24,21,56
Adamówka Powiśle,51,26,21,56
Adampol,51,13,22,42
Adampol,51,33,23,28
Adampol,52,24,21,43
Adampol,52,31,21,35
Adelin,52,30,21,27
Adelina,50,40,23,46
Adelina,51,08,22,09
Adelinów,51,17,19,52
Adolfin,51,11,23,18
Adolfin,51,28,21,23
Adolfowo,52,07,16,14
Adolfowo,52,58,17,00
Adolfów,52,39,22,18
Agatówka,50,36,22,01
Agatówka,50,50,22,05
Agnieszkowo,52,55,19,31
Agnieszków,51,45,18,21
Agrafinówka,54,09,22,45
Akacyjki,51,31,18,10
Aksmanice,49,40,22,45
Akwizgran,50,56,20,23
Albertowsko,52,17,16,13
Albertów,51,02,18,50
Albertów,51,18,23,03
Albertów,51,48,19,11
Albertów,52,01,18,25
Albigowa,50,01,22,14
Albinów,50,43,22,44
Albinów,51,58,19,50
Aleksandria Druga,50,45,18,57
Aleksandria,51,36,18,14
Aleksandria,52,00,20,25
Aleksandria Pierwsza,50,46,18,59
Aleksandrowice,49,49,19,01
Aleksandrowice,50,05,19,46
Aleksandrowo,52,34,22,48
Aleksandrowo,52,38,19,54
Aleksandrowo,52,53,19,58
Aleksandrowo,53,10,21,25
Aleksandrowo,53,23,22,18
Aleksandrowo,54,06,22,47
Aleksandrowska-Stawka,51,17,22,25
Aleksandrowsk,54,05,23,10
Aleksandrówek,51,34,19,12
Aleksandrówka,50,52,22,27
Aleksandrówka,51,05,23,21
Aleksandrówka,51,09,23,16
Aleksandrówka,51,11,18,40
Aleksandrówka,51,20,23,21
Aleksandrówka,51,25,21,38
Aleksandrówka,51,29,22,24
Aleksandrówka,51,35,21,33
Aleksandrówka,51,46,20,17
Aleksandrówka,51,51,20,46
Aleksandrówka,51,58,22,07
Aleksandrówka,52,12,21,25
Aleksandrówka,54,17,23,07
Aleksandrów Kujawski,52,52,18,42
Aleksandrów Łódzki,51,49,19,18
Aleksandrów Mały,51,01,21,29
Aleksandrów,50,25,20,30
Aleksandrów,50,28,22,55
Aleksandrów,50,44,19,41
Aleksandrów,50,47,19,46
Aleksandrów,50,55,18,44
Aleksandrów,50,56,21,58
Aleksandrów,51,05,21,36
Aleksandrów,51,06,18,29
Aleksandrów,51,07,21,23
Aleksandrów,51,10,21,32
Aleksandrów,51,13,20,46
Aleksandrów,51,14,19,30
Aleksandrów,51,15,19,16
Aleksandrów,51,16,19,59
Aleksandrów,51,17,18,54
Aleksandrów,51,36,20,48
Aleksandrów,51,47,21,20
Aleksandrów,51,47,23,21
Aleksandrów,51,54,18,14
Aleksandrów,51,54,22,28
Aleksandrów,51,59,20,57
Aleksandrów,52,01,18,39
Aleksandrów,52,09,20,20
Aleksandrów,52,10,21,15
Aleksandrów,52,13,21,44
Aleksandrów,52,15,18,59
Aleksandrów,52,18,19,57
Aleksandrów,52,18,21,02
Aleksandrów,52,20,19,25
Aleksandrów,52,20,19,51
Aleksandrów,52,20,20,38
Aleksandrów,52,25,21,09
Aleksandrów Nowy,51,56,20,44
Alfonsów,51,20,20,08
Alfredówka,50,28,21,45
Alinowo,52,24,18,09
Alojzów,50,59,23,33
Alojzów,51,14,21,16
Alwernia,50,04,19,32
Ambrożew,52,01,19,19
Amelin,51,04,19,31
Amelin,51,26,22,22
Amelin,51,38,22,41
Amelin,53,04,21,15
Ameryka,50,10,18,41
Anajewo,52,31,19,26
Anastazew,51,54,19,12
Anastazew,52,32,21,28
Anastazewo,52,28,18,02
Anastazów,51,25,19,20
Anatolin,52,19,19,46
Ancuty,52,56,23,29
Andrespol,51,44,19,39
Andruszkowice,50,40,21,42
Andrychów,49,51,19,21
Andrychy,53,32,22,09
Andryjanki,52,37,23,00
Andrzejewo,52,51,22,10
Andrzejewo,53,55,19,17
Andrzejewo,54,17,23,05
Andrzejki,53,07,22,00
Andrzejówka,49,21,20,49
Andrzejówka,50,36,22,37
Andrzejówka,50,39,23,51
Andrzejówka,51,25,21,37
Andrzejów,50,46,22,26
Andrzejów,51,05,23,41
Andrzejów,51,12,18,14
andrzejów,51,18,21,46
Andrzejów,51,23,23,13
Andrzejów,51,44,19,41
Andziełówka,49,35,18,55
Andzin,52,35,20,41
Angowice,53,40,17,34
Anielew,52,17,18,19
Anielewo,52,06,17,49
Anielinek,52,13,21,38
Anielin-Kazimierzów,51,52,19,40
Anielin Kepa,51,47,21,17
Anielin,50,56,21,55
Anielin,51,15,21,19
Anielin,51,25,21,50
Anielin,51,28,21,34
Anielin,51,32,20,19
Anielin,51,38,19,08
Anielin,51,47,21,17
Anielin,51,50,20,51
Anielin,51,55,19,33
Anielin,52,22,19,28
Anielin,52,23,19,18
Anielin,52,27,18,55
Anieliny,53,08,17,30
Anielów,51,47,21,47
Anielpol,50,54,23,20
Anin,52,14,21,10
Anio łowo,54,08,19,36
Ankamaty,53,56,19,17
Annapol,51,59,17,32
Annobór,51,26,22,36
Annogóra,52,45,16,30
Annolesie,51,03,18,57
Annolesie,51,18,18,55
Annopol A,51,41,20,07
Annopol B,51,40,20,06
Annopole,51,40,18,51
Annopole,52,13,17,13
Annopol,50,53,21,51
Annopol,50,54,23,53
Annopol,51,41,20,06
Annopol,51,50,20,35
Annopol,51,52,18,21
Annopol,52,18,21,01
Annopol,52,25,19,38
Annopol,52,26,21,42
Annosław,51,46,20,26
Annowka,51,59,18,14
Annowo,52,49,17,52
Annowo,54,11,23,07
Annówka,51,40,22,28
Annów,50,56,22,30
Annów,51,39,20,11
Anonin,51,54,22,13
Antolin,50,48,22,27
Antolin,51,36,19,56
Antolin,52,15,23,09
Antolka,50,24,20,06
Antomieszki,54,19,22,00
Antonia,53,27,21,32
Antonia,53,28,21,27
Antonielów,50,57,20,11
Antonielów,51,14,19,43
Antonie,51,06,18,57
Antonie,53,08,21,32
Antoniew,51,28,17,49
Antoniew,51,47,19,22
Antoniew,51,56,19,06
Antoniew,52,10,19,40
Antoniew,52,12,20,10
Antoniew,52,13,19,22
Antoniewo,52,24,19,17
Antoniewo,52,51,16,27
Antoniewo,52,54,19,58
Antoniewo,52,57,18,48
Antoniewo,53,54,17,38
Antoniew Sikawa,51,48,19,31
Antoniew Żdżarów,52,15,20,11
Antonina,51,09,19,07
Antonina,51,18,18,57
Antonin,51,31,17,51
Antonin,51,35,22,26
Antonin,52,07,17,37
Antonin,52,12,21,42
Antonin,52,41,22,33
Antonin,53,49,19,12
Antonin Nowy,51,34,22,25
Antoninów,51,26,20,08
Antoninów,51,52,19,02
Antoninów,51,52,20,26
Antoninów,52,30,19,32
antonin Stary,51,35,22,27
Antoniny,53,04,17,04
Antoniówka,50,34,23,22
Antoniówka,50,39,23,28
Antoniówka,50,55,22,45
Antoniówka,50,58,22,55
Antoniówka,51,04,22,46
Antoniówka,51,13,19,16
Antoniówka,51,25,20,11
Antoniówka,51,26,21,18
Antoniówka,51,26,21,35
Antoniówka,51,27,19,02
Antoniówka,51,35,22,40
Antoniówka,51,41,21,30
Antoniówka Nowa,50,40,23,28
Antoniówka Stara,50,39,23,29
Antoniów,50,43,21,54
Antoniów,50,53,18,40
Antoniów,51,03,21,33
Antoniów,51,08,19,35
Antoniów,51,12,20,42
Antoniów,51,12,21,25
Antoniów,51,13,20,10
Antoniów,51,14,22,52
Antoniów,51,16,21,14
Antoniów,51,28,20,12
Antoniuk,53,09,23,09
Antonowo,54,04,21,45
Antonówka,51,06,22,06
Antopol,51,05,19,33
Antopol,51,40,23,15
Antosin,52,16,20,05
Anusin,51,11,23,08
Anusin,51,13,21,36
Anusin,51,49,18,56
Anusin,52,09,19,19
Anusin,52,23,22,55
Anuszewo,53,32,21,42
Aplinki,53,46,18,50
Apolonka,50,43,19,29
Arbasy,52,31,22,33
Arcelin,52,39,20,19
Archidiakonka,53,12,18,37
Arciechów,52,22,20,06
Arcugowo,52,27,17,42
Ardapy,54,14,20,46
Arentowo,53,07,17,03
Arkadia,52,05,20,00
Arkuszewo,52,21,18,56
Arkuszewo,52,32,17,38
Arkusżów,50,40,21,09
Arłamów,49,35,22,40
Arnoldowo,52,58,17,55
Arynów,52,12,21,32
Abramowice Kościelne,51,12,22,35
Abramowice,49,48,20,12
Abramowice Prywatne,51,13,22,36
Abramówka,51,19,23,09
Abramów,50,42,22,42
Abramów,51,03,22,32
Abramów,51,27,22,19
Abramy,53,01,21,52
Achrymowce,53,32,23,33
Adama,50,25,20,13
Adamczowice,50,40,21,29
Adamczycha,53,07,21,16
Adamek,51,05,20,31
Adamierz,50,12,20,54
Adamierz,52,09,17,48
Adaminowo,52,36,19,16
Adamkowa Rola,49,46,19,38
Adamkowo,53,32,17,42
Adamowa Góra,52,16,20,13
Adamowice,50,08,18,20
Adamowice,51,57,20,29
Adamowice,52,14,19,18
Adamowizna,54,11,23,09
Adamowo,52,06,16,09
Adamowo,52,27,18,03
Adamowo,52,34,20,36
Adamowo,52,40,20,42
Adamowo,52,51,19,29
Adamowo,52,55,19,54
Adamowo,52,55,20,10
Adamowo,52,55,21,17
Adamowo,52,56,19,17
Adamowo,53,10,19,55
Adamowo,53,23,17,18
Adamowo,53,26,19,10
Adamowo,53,43,19,22
Adamowo,53,54,19,23
Adamowo,54,09,19,16
Adamowo-Zastawa,52,06,16,09
Adamów-Parcel,52,01,20,34
