x,y,nazwa,miasto
20.021194,49.453218,Stacje paliw Orlen,Nowy Targ
22.184567,51.389297,Stacje paliw Orlen,Kurów
20.695423,49.639275,Stacje paliw Orlen,Nowy Sącz
18.922113,51.607584,Stacje paliw Orlen,Zduńska Wola
20.222300,52.474701,Stacje paliw Orlen,Kobylniki
18.722450,53.488820,Stacje paliw Orlen,Michale
21.498102,50.727698,Stacje paliw Orlen,Kurów
17.285380,50.944800,Stacje paliw Orlen,Oława
19.471370,52.437740,Stacje paliw Orlen,Gostynin
19.442600,51.735340,Stacje paliw Orlen,Łódz
21.526112,50.558787,Stacje paliw Orlen,Łoniów
21.847874,50.662710,Stacje paliw Orlen,Gorzyce
17.584011,53.697866,Stacje paliw Orlen,Chojnice
19.440430,50.151150,Stacje paliw Orlen,Trzebinia
19.947820,50.077360,Stacje paliw Orlen,Kraków
15.050282,51.185705,Stacje paliw Orlen,Zgorzelec
18.496395,53.031575,Stacje paliw Orlen,Przysiek
17.811906,50.687364,Stacje paliw Orlen,Wrzoski
21.888735,51.810014,Stacje paliw Orlen,Żelechów
21.585372,50.073729,Stacje paliw Orlen,Ropczyce
19.224738,50.222455,Stacje paliw Orlen,Jaworzno
14.918415,52.675406,Stacje paliw Orlen,Witnica
19.209648,53.754585,Stacje paliw Orlen,Prabuty
22.694321,50.563204,Stacje paliw Orlen,Gromada
15.615939,52.067286,Stacje paliw Orlen,Sulechów
20.102727,49.885676,Stacje paliw Orlen,Dobczyce
17.774742,51.890875,Stacje paliw Orlen,Pleszew
20.145700,53.445500,Stacje paliw Orlen,Gietrzwałd
19.871242,49.578205,Stacje paliw Orlen,Raba Wyżna
16.978008,52.756899,Stacje paliw Orlen,Rogozno
21.220930,53.844210,Stacje paliw Orlen,Nowe Bagienice
19.121980,50.357756,Stacje paliw Orlen,Będzin
18.002343,50.719259,Stacje paliw Orlen,Zawada
17.190342,51.066131,Stacje paliw Orlen,Gajków
18.413901,51.280172,Stacje paliw Orlen,Biała
21.620278,49.755251,Stacje paliw Orlen,Moderówka
20.575794,51.951083,Stacje paliw Orlen,Zbiroża
18.998741,51.139947,Stacje paliw Orlen,Pajęczno
18.636482,53.365343,Stacje paliw Orlen,Papażyn
18.540909,53.958207,Stacje paliw Orlen,Starogard Gdański
16.683104,53.155559,Stacje paliw Orlen,Piła
15.156873,52.744502,Stacje paliw Orlen,Gorzów Wielkopolski
18.776364,53.292028,Stacje paliw Orlen,Płuznica
18.181171,52.312795,Stacje paliw Orlen,Kazimierz Biskupi
21.821251,49.651210,Stacje paliw Orlen,Miejsce Piastowe
15.187500,51.525833,Stacje paliw Orlen,Iłowa
19.427433,49.868516,Stacje paliw Orlen,Chocznia
15.953594,51.579681,Stacje paliw Orlen,Radwanice
16.320641,51.801211,Stacje paliw Orlen,Wschowa
19.029146,52.673728,Stacje paliw Orlen,Włocławek
19.584761,52.457781,Stacje paliw Orlen,Wola Łącka
21.423426,49.795921,Stacje paliw Orlen,Kołaczyce
21.781983,51.739626,Stacje paliw Orlen,Trojanów
18.679789,53.037381,Stacje paliw Orlen,Toruń
15.725577,51.303494,Stacje paliw Orlen,Osła
21.930149,53.000026,Stacje paliw Orlen,Jakać Dworna
18.583438,53.167813,Stacje paliw Orlen,Chełmża
19.435008,53.065757,Stacje paliw Orlen,Rypin
20.656180,50.902387,Stacje paliw Orlen,Kielce
16.966174,51.213621,Stacje paliw Orlen,Szewce
21.006031,50.014193,Stacje paliw Orlen,Tarnów
18.188553,50.558379,Stacje paliw Orlen,Izbicko
16.562383,51.843984,Stacje paliw Orlen,Leszno
18.484486,53.304313,Stacje paliw Orlen,Małe Czyste
17.836797,51.640367,Stacje paliw Orlen,Ostrów Wielkopols
